0000055370;1196906734|0
0000066899;1196909486|0
0000038599;1196906998|0
0000038601;1196906999|0
0000066004;1196909491|0
0000355384;13093910|3
0000078067;1196907815|0
0001015988;1989|0
0000048724;1196908215|0
0000728336;22224928|2
0000396437;742|0
0000052336;1196908461|0
0000054946;1196908709|0
0000038613;1211682954|0
0000036914;1211682958|0
0000062537;1196909298|0
0000392784;13095232|3
0000038909;1196907273|0
0000045434;1196907904|0
0000069252;1196907110|0
0000052270;1196908440|0
0000067025;1196909566|0
0000061902;1196909216|0
0000054951;1211683041|0
0000055425;1211683042|0
0000047221;1196908045|0
0000084000;8759|15
0000864557;2013|0
0000067034;1196909561|0
0000038556;1196907079|0
0000053935;1196908647|0
0000056980;1196908797|0
0000058811;1196908998|0
0000929206;2056|0
0000045428;1196907937|0
0000423828;244|2
0000034051;1196906721|0
0000040587;1196907386|0
0000553273;1729|0
0000503969;48478504|6
0000040589;1196907389|0
0000487944;1|0
0000530368;592|0
0000553817;1730|0
0000454629;1391|0
0000070026;1196909619|0
0000329148;702|0
0000070027;1196909649|0
0000062483;1196909299|0
0000069261;1196907846|0
0000038910;1196907274|0
0000043995;1196907706|0
0000047026;1196908055|0
0000073198;1196909829|0
0000047608;1196908381|0
0000079050;1196908125|0
0000036916;1196907080|0
0000050351;1196908287|0
0000070082;1196909650|0
0000455374;1392|0
0000047000;1196908041|0
0000042068;1196907628|0
0000034866;1211682936|0
0000034729;1211682939|0
0000045490;1196907971|0
0000058817;1196909012|0
0000072064;1196909894|0
0000038679;1196907267|0
0000047125;1196908060|0
0000053934;1196908558|0
0000067043;1196909596|0
0000071913;1196909871|0
0000029056;1196907187|0
0000062621;38740561|3
0000035904;1211683025|0
0000064459;1211683016|0
0000042070;1196907642|0
0000077316;1196909381|0
0000051327;1211683013|0
0000036918;1196907054|0
0000065152;1196906887|0
0000507370;1634|0
0000064513;1196907506|0
0000821776;1600|0
0001050544;1532|0
0000067006;1196909541|0
0000067057;1196909542|0
0000988447;16|0
0000314087;270|0
0000044332;1196907746|0
0000047663;1196908166|0
0000051648;1196908288|0
0000056235;1196908489|0
0000056981;1196908768|0
0000036920;1196907410|0
0000040591;1196907419|0
0000047662;1196907483|0
0000079284;1196907548|0
0000672852;1279|0
0000504647;75037521|3
0000513677;1675|0
0000201946;1442|0
0000656405;1466|0
0000134970;198|0
0000040593;1196907466|0
0000655718;131223898|3
0000050555;1196908247|0
0000070112;1196909696|0
0000062622;1196908755|0
0000062604;1196909232|0
0000252379;1829|0
0000040598;1196907387|0
0000061294;1196909199|0
0000038766;1196907299|0
0000038911;1196907300|0
0000057656;1196908889|0
0000061459;1196909091|0
0000071501;1196909794|0
0000047464;1196908121|0
0000071989;1196909288|0
0000045491;1196907991|0
0001003072;17|0
0000505583;162|3
0000039616;1196907366|0
0000057314;1196908798|0
0000061867;1196909165|0
0001082858;44141937|3
0000071132;1196907250|0
0000039617;1196907348|0
0000050298;1196908307|0
0000079465;1196908772|0
0000078580;1196908336|0
0000555954;1735|0
0000044015;1196907721|0
0000059161;1196909056|0
0001031578;1972|0
0001076377;2110|0
0000040606;1196907397|0
0000067076;1196906762|0
0000397648;743|0
0000397028;432|2
0000061886;1196909202|0
0000054001;1211683020|0
0000875423;473|0
