en
S,en,Azerbaijan,ru,Азербайджан
T,en,Baku,ru,Баку
T,en,Ganca,ru,Гянджа
T,en,Sumqayit,ru,Сумгаит
T,en,Mingacevir,ru,Мингечаур
T,en,Nakhichevan,ru,Нахичевань
T,en,Shaki,ru,Шеки
S,en,Belarus,ru,Беларусь
T,en,Minsk,ru,Минск
T,en,Brest,ru,Брест
T,en,Gomel,ru,Гомель
T,en,Grodno,ru,Гродно
T,en,Mogilev,ru,Могилев
T,en,Vitebsk,ru,Витебск
T,en,Bobruysk,ru,Бобруйск
S,en,Estonia,ru,Эстония
T,en,Tallinn,ru,Таллинн
T,en,Narva,ru,Нарва
S,en,Russia,ru,Россия
R,en,Adygeya Resp,ru,Адыгея Респ
T,en,Maykop,ru,Майкоп
T,en,Adygeysk,ru,Адыгейск
R,en,Bashkortostan Resp,ru,Башкортостан Респ
T,en,Ufa,ru,Уфа
T,en,Agidel,ru,Агидель
T,en,Neftekamsk,ru,Нефтекамск
T,en,Oktyabrskiy,ru,Октябрьский
T,en,Salavat,ru,Салават
T,en,Sibay,ru,Сибай
T,en,Kumertau,ru,Кумертау
T,en,Mezhgore,ru,Межгорье
T,en,Sterlitamak,ru,Стерлитамак
T,en,Baymak,ru,Баймак
T,en,Belebey,ru,Белебей
T,en,Beloretsk,ru,Белорецк
T,en,Birsk,ru,Бирск
T,en,Blagoveshchensk,ru,Благовещенск
T,en,Ishimbay,ru,Ишимбай
T,en,Meleuz,ru,Мелеуз
T,en,Tuymazy,ru,Туймазы
T,en,Uchaly,ru,Учалы
T,en,YAnaul,ru,Янаул
T,en,Davlekanovo,ru,Давлеканово
T,en,Dyurtyuli,ru,Дюртюли
R,en,Buryatiya Resp,ru,Бурятия Респ
T,en,UlanUde,ru,Улан-Удэ
T,en,Severobaykalsk,ru,Северобайкальск
T,en,Zakamensk,ru,Закаменск
T,en,Babushkin,ru,Бабушкин
T,en,Kyakhta,ru,Кяхта
T,en,Gusinoozersk,ru,Гусиноозерск
R,en,Altay Resp,ru,Алтай Респ
T,en,GornoAltaysk,ru,Горно-Алтайск
R,en,Dagestan Resp,ru,Дагестан Респ
T,en,Makhachkala,ru,Махачкала
T,en,Dagestanskie Ogni,ru,Дагестанские Огни
T,en,Izberbash,ru,Избербаш
T,en,Kaspiysk,ru,Каспийск
