en
S,en,USA,ru,США
S,en,Canada,ru,Канада
S,en,Albania,ru,Албания
S,en,Andorra,ru,Андорра
S,en,Azerbaijan,ru,Азербайджан
S,en,Austria,ru,Австрия
S,en,Byelorussia,ru,Белоруссия
S,en,Belgium,ru,Бельгия
S,en,Bulgaria,ru,Болгария
S,en,Croatia,ru,Хорватия
S,en,Denmark,ru,Дания
S,en,Estonia,ru,Эстония
S,en,Finland,ru,Финляндия
S,en,France,ru,Франция
S,en,Germany,ru,Германия
S,en,Russian Federation,ru,Россия
S,en,Georgia,ru,Грузия
S,en,Greece,ru,Греция
S,en,Hungary,ru,Венгрия
S,en,Iceland,ru,Исландия
S,en,Italy,ru,Италия
S,en,Latvia,ru,Латвия
S,en,Liechtenstein,ru,Лихтенштейн
S,en,Lithuania,ru,Литва
S,en,Luxembourg,ru,Люксембург
S,en,Macedonia,ru,Македония
S,en,Malta,ru,Мальта
S,en,Moldavia,ru,Молдавия
S,en,Monaco,ru,Монако
S,en,Netherlands,ru,Нидерланды
S,en,Norway,ru,Норвегия
S,en,Poland,ru,Польша
S,en,Portugal,ru,Португалия
S,en,Romania,ru,Румыния
S,en,Slovakia,ru,Словакия
S,en,Slovenia,ru,Словения
S,en,Ireland,ru,Ирландия
S,en,Spain,ru,Испания
S,en,Sweden,ru,Швеция
S,en,Switzerland,ru,Швейцария
S,en,UK,ru,Великобритания
S,en,Vatican City,ru,Ватикан
S,en,Yugoslavia,ru,Югославия
S,en,Bosnia-Herzegovina,ru,Босния и Герцеговина
S,en,Czech Republic,ru,Чешская республика
S,en,Mexico,ru,Мексика
S,en,Ukraine,ru,Украина
S,en,Kazakhstan,ru,Казахстан
S,en,Turkmenistan,ru,Туркменистан
S,en,Israel,ru,Израиль
S,en,Armenia,ru,Армения
S,en,Tadjikistan,ru,Таджикистан
S,en,Uzbekistan,ru,Узбекистан
S,en,Australia,ru,Австралия
S,en,Angola,ru,Ангола
S,en,New Zealand,ru,Новая Зеландия
