0000455201;300233
0000455820;321663
0000556543;64065
0000555899;64293
0000555717;64295
0000555829;64855
0000556328;64857
0000556382;64859
0000556431;64861
0000042666;64863
0000565213;64865
0000553582;64869
0000554594;66387
0000553817;67385
0000559461;67391
0000573194;67395
0000567572;67403
0000569072;67411
0000573455;67413
0000575658;67415
0000571417;68131
0000559401;128166
0000554983;315886
0000554105;316138
0000405068;63509
0000413537;63521
0000416031;63527
0000413697;63895
0000402873;65207
0000414407;65209
0000402514;65311
0000402576;65313
0000400261;65555
0000402907;66643
0000405114;66663
0000241798;66685
0000414954;66695
0000420983;66713
0000413219;67433
0000028507;67445
0000400151;68037
0000414443;109070
0000425449;114225
0000194183;114227
0000119864;114229
0000415973;114231
0000414161;114233
0000414173;114235
0000416081;114239
0000425523;114241
0000414002;114243
0000414058;114245
0000413645;114247
0000206442;114250
0000412609;114252
0000410204;114254
0000411927;179478
0000410239;179479
0000403030;179480
0000415373;179481
0000414878;179482
0000403055;179484
0000425556;179485
0000422958;179487
0000412041;181297
0000416255;209170
0000413464;252787
0000402730;316115
0000413483;317667
0000413569;317670
0000413854;317671
0000413323;317673
0000413452;317681
0000413913;317682
0001066239;63423
0001069072;112317
0000158780;112323
0001066992;118355
0001068937;118357
0000120858;63193
0000120659;63195
0000120365;63197
0000339134;63199
0000116063;63201
0000118144;63207
0000113663;63217
0000117278;63219
0000121118;63225
0000342984;63639
0000111424;64833
0000111518;65355
0000239713;65475
0000111537;65771
0000067197;65773
0000112756;65775
0000113300;65783
0000111670;65785
0000111645;120729
0000117960;120731
0000118956;120735
0000111651;121246
0000113349;121250
0000111611;121254
0000111653;174677
0000110395;174710
0000341719;241586
0000560110;322335
0000483783;63845
0000482186;64279
0000485861;65197
0000484551;65483
0000482115;65723
0000484064;65787
0000481189;65795
0000481443;65797
0000482307;65809
0000482089;65811
0000484103;65825
0000037527;65829
0000484672;65849
0000485983;65853
0000484317;193561
0000485329;193859
0000485667;193883
0000484857;194546
0000482162;212099
0000245163;241587
0000155934;243275
